Time,FOPT,WOPR:WELL08P,WOPR:WELL09P,WOPR:WELL10P,WOPR:WELL11I,WOPR:WELL12P,WOPR:WELL14P,WOPR:WELL18P,WOPR:WELL19P,WOPR:WELL22P,FPR,WBHP:WELL08P,WBHP:WELL09P,WBHP:WELL10P,WBHP:WELL11I,WBHP:WELL12P,WBHP:WELL14P,WBHP:WELL18P,WBHP:WELL19P,WBHP:WELL22P,FWCT,WWCT:WELL08P,WWCT:WELL09P,WWCT:WELL10P,WWCT:WELL11I,WWCT:WELL12P,WWCT:WELL14P,WWCT:WELL18P,WWCT:WELL19P,WWCT:WELL22P,WLPR:WELL08P,WLPR:WELL09P,WLPR:WELL10P,WLPR:WELL11I,WLPR:WELL12P,WLPR:WELL14P,WLPR:WELL18P,WLPR:WELL19P,WLPR:WELL22P
2000-01-02 00:00:00,2800.000244140625,350.0000305175781,350.0,350.0000305175781,-0.0,350.0000305175781,350.0,350.00006103515625,350.0,350.0,198.51626586914062,182.3656463623047,182.4049530029297,180.10855102539062,212.26412963867188,182.26193237304688,181.77365112304688,175.75347900390625,179.8033447265625,180.90512084960938,9.769059397513047e-05,9.62355625233613e-05,8.482542762067169e-05,0.00010053564619738609,0.0,9.842058352660388e-05,8.821356459520757e-05,0.0001195753866340965,9.564944048179314e-05,9.806838352233171e-05,350.03369140625,350.0296936035156,350.03521728515625,-0.0,350.03448486328125,350.0308837890625,350.04193115234375,350.0334777832031,350.0343322753906
2000-01-05 00:00:00,11200.0,350.0,350.0,350.0,-0.0,350.0,350.0,350.0,350.0,350.0,198.52133178710938,175.12669372558594,176.98089599609375,172.91375732421875,226.5637664794922,174.65188598632812,175.52088928222656,163.7351837158203,172.77731323242188,173.10494995117188,0.0002553291851654649,0.00025019762688316405,0.0001962590031325817,0.00024587352527305484,0.0,0.0002610483206808567,0.00021815349464304745,0.00036866392474621534,0.00024020145065151155,0.0002622179454192519,350.08758544921875,350.0686950683594,350.0860595703125,-0.0,350.0914001464844,350.0763854980469,350.12908935546875,350.0840759277344,350.091796875
2000-01-14 00:00:00,36400.0,350.0,350.0,350.0,-0.0,350.0,350.0,350.0,350.0,350.0,198.5375518798828,169.03265380859375,172.88900756835938,167.58656311035156,277.9632873535156,168.26206970214844,170.47010803222656,153.15249633789062,167.5240936279297,166.8304901123047,0.000357289332896471,0.00034815046819858253,0.0002574394457042217,0.0003279345401097089,0.0,0.00036988002830184996,0.0003036456473637372,0.0005547433975152671,0.0003270423912908882,0.0003694245533552021,350.12188720703125,350.0901184082031,350.11480712890625,-0.0,350.1295166015625,350.1063232421875,350.19427490234375,350.114501953125,350.12933349609375
2000-02-10 00:00:00,112000.0,350.0,350.0,350.0,-0.0,350.0,350.0,350.0,350.0,350.0,198.48072814941406,165.1500244140625,170.0757293701172,163.99501037597656,302.37548828125,164.2229461669922,167.0218963623047,146.9925079345703,164.07301330566406,162.89669799804688,0.0003504442283883691,0.00033881672425195575,0.00025650026509538293,0.00032736730645410717,0.0,0.000361133978003636,0.00031140423379838467,0.0005234185955487192,0.0003242549137212336,0.0003606159007176757,350.1186218261719,350.0898132324219,350.1146240234375,-0.0,350.1264343261719,350.1090393066406,350.18328857421875,350.113525390625,350.1262512207031
2000-05-01 00:00:00,338800.0,350.0,350.0,350.0,-0.0,350.0,350.0,350.0,350.0,350.0,197.96511840820312,161.46475219726562,167.3996124267578,160.3280487060547,310.5266418457031,160.64993286132812,163.76541137695312,141.84075927734375,160.61683654785156,158.92062377929688,0.00032607000321149826,0.00031378644052892923,0.00025100712082348764,0.0003146141825709492,0.0,0.00032711680978536606,0.00030937709379941225,0.00044897233601659536,0.00031008003861643374,0.0003335844667162746,350.10986328125,350.0878601074219,350.1101379394531,-0.0,350.1145324707031,350.1083068847656,350.1571960449219,350.1085510253906,350.1167907714844
2000-07-20 12:28:48,564256.0,350.0,350.0,350.0,-0.0,350.0,350.0,350.0,350.0,350.0,197.38255310058594,159.191650390625,165.80267333984375,158.18540954589844,314.54638671875,158.4793243408203,161.82473754882812,138.9057159423828,158.50511169433594,156.4262237548828,0.000321916799293831,0.00030936385155655444,0.0002562963345553726,0.00031236535869538784,0.0,0.00031886924989521503,0.0003165430389344692,0.0004209712496958673,0.00031137210316956043,0.0003295386559329927,350.1083068847656,350.0897216796875,350.109375,-0.0,350.11163330078125,350.11083984375,350.14739990234375,350.1090087890625,350.1153869628906
2000-12-31 00:00:00,1022000.0,350.0,350.0,350.0,-0.0,350.0,350.0,350.0,350.0,350.0,196.15846252441406,156.12033081054688,163.53546142578125,155.25619506835938,318.1352844238281,155.5260009765625,159.09658813476562,134.95855712890625,155.54330444335938,153.0141143798828,0.0003333391505293548,0.00031970255076885223,0.0002769691636785865,0.00032114001805894077,0.0,0.00032653158996254206,0.0003400576242711395,0.00041248288471251726,0.0003277032810728997,0.00034211616730317473,350.1119384765625,350.0969543457031,350.1124267578125,-0.0,350.11431884765625,350.1190490722656,350.1444396972656,350.11474609375,350.1197814941406
2001-02-08 17:57:50,1133295.75,350.0,350.0,350.0,-0.0,350.0,350.0,350.0,350.0,350.0,195.86985778808594,155.43038940429688,163.02255249023438,154.5989227294922,319.0901794433594,154.86398315429688,158.48500061035156,134.0640869140625,154.86880493164062,152.2461700439453,0.0003369676705915481,0.00032310400274582207,0.00028238611412234604,0.00032378590549342334,0.0,0.0003293903137091547,0.0003461095620878041,0.00041253972449339926,0.00033232674468308687,0.0003460896259639412,350.1131286621094,350.098876953125,350.1133728027344,-0.0,350.1153259277344,350.1211853027344,350.1444396972656,350.1163635253906,350.1211853027344
2001-04-29 05:53:32,1355887.375,350.0,350.0,350.0,-0.0,350.0,350.0,350.0,350.0,350.0,195.2864990234375,154.20223999023438,162.0824432373047,153.3971405029297,320.1478271484375,153.6855010986328,157.3715057373047,132.46800231933594,153.63157653808594,150.86915588378906,0.00034566165413707495,0.0003311172768007964,0.0002940062840934843,0.00033032477949745953,0.0,0.0003367212484590709,0.0003590468259062618,0.0004162448749411851,0.0003425257164053619,0.0003552977868821472,350.1159362792969,350.1029357910156,350.11566162109375,-0.0,350.1178894042969,350.1257019042969,350.145751953125,350.11993408203125,350.1243896484375
2001-07-19 08:16:03,1582964.5,350.0,350.0,350.0,-0.0,350.0,350.0,350.0,350.0,350.0,194.69058227539062,153.05410766601562,161.17254638671875,152.2290496826172,320.88421630859375,152.58319091796875,156.29678344726562,130.96263122558594,152.43385314941406,149.56744384765625,0.00035562444827519357,0.0003400097193662077,0.0003066395875066519,0.0003382986760698259,0.0,0.0003451755619607866,0.00037311622872948647,0.00042232376290485263,0.0003538302844390273,0.0003655938489828259,350.1190490722656,350.10736083984375,350.1184387207031,-0.0,350.120849609375,350.1306457519531,350.14788818359375,350.1238708496094,350.12799072265625
