Time,FOPT,WOPR:WELL08P,WOPR:WELL09P,WOPR:WELL10P,WOPR:WELL11I,WOPR:WELL12P,WOPR:WELL14P,WOPR:WELL18P,WOPR:WELL19P,WOPR:WELL22P,FPR,WBHP:WELL08P,WBHP:WELL09P,WBHP:WELL10P,WBHP:WELL11I,WBHP:WELL12P,WBHP:WELL14P,WBHP:WELL18P,WBHP:WELL19P,WBHP:WELL22P,FWCT,WWCT:WELL08P,WWCT:WELL09P,WWCT:WELL10P,WWCT:WELL11I,WWCT:WELL12P,WWCT:WELL14P,WWCT:WELL18P,WWCT:WELL19P,WWCT:WELL22P,WLPR:WELL08P,WLPR:WELL09P,WLPR:WELL10P,WLPR:WELL11I,WLPR:WELL12P,WLPR:WELL14P,WLPR:WELL18P,WLPR:WELL19P,WLPR:WELL22P,WWPR:WELL08P,WWPR:WELL09P,WWPR:WELL10P,WWPR:WELL11I,WWPR:WELL12P,WWPR:WELL14P,WWPR:WELL18P,WWPR:WELL19P,WWPR:WELL22P,WGPR:WELL08P,WGPR:WELL09P,WGPR:WELL10P,WGPR:WELL11I,WGPR:WELL12P,WGPR:WELL14P,WGPR:WELL18P,WGPR:WELL19P,WGPR:WELL22P
2000-01-02 00:00:00,2800.000244140625,350.0000305175781,350.0,350.0000305175781,-0.0,350.0000305175781,350.0,350.00006103515625,350.0,350.0,198.5162811279297,182.3656463623047,182.4049530029297,180.10853576660156,212.26412963867188,182.2619171142578,181.77365112304688,175.7534637451172,179.8033447265625,180.90512084960938,9.7690659458749e-05,9.623557707527652e-05,8.482544217258692e-05,0.00010053588630398735,0.0,9.842065628618002e-05,8.821359369903803e-05,0.00011957550304941833,9.564946230966598e-05,9.806840535020456e-05,350.03369140625,350.0296936035156,350.03521728515625,-0.0,350.03448486328125,350.0308837890625,350.04193115234375,350.0334777832031,350.0343322753906,0.03368569537997246,0.0296914242208004,0.03519110009074211,-0.0,0.03445062413811684,0.030877482146024704,0.04185643792152405,0.03348051384091377,0.03432730957865715,49961.71484375,49562.17578125,49873.9765625,-0.0,50067.71875,49689.4453125,50393.53515625,49785.31640625,50084.2734375
2000-01-05 00:00:00,11200.0,350.0,350.0,350.0,-0.0,350.0,350.0,350.0,350.0,350.0,198.52133178710938,175.12672424316406,176.9808807373047,172.91380310058594,226.563232421875,174.65191650390625,175.5208740234375,163.7352294921875,172.77731323242188,173.10498046875,0.00025532866129651666,0.0002501965791452676,0.0001962591049959883,0.00024587224470451474,0.0,0.0002610477095004171,0.00021815368381794542,0.0003686628770083189,0.0002402016834821552,0.00026221730513498187,350.08758544921875,350.0686950683594,350.0860595703125,-0.0,350.0914001464844,350.0763854980469,350.12908935546875,350.0840759277344,350.091796875,0.08759072422981262,0.06870417296886444,0.08607644587755203,-0.0,0.09139055013656616,0.07637044787406921,0.12907959520816803,0.08409078419208527,0.09180013090372086,51356.546875,50362.265625,51173.97265625,-0.0,51553.22265625,50738.7890625,53478.65234375,51102.859375,51735.0078125
2000-01-14 00:00:00,36400.0,350.0,350.0,350.0,-0.0,350.0,350.0,350.0,350.0,350.0,198.5375518798828,169.03265380859375,172.88900756835938,167.58656311035156,277.9632568359375,168.26205444335938,170.47010803222656,153.15248107910156,167.5240936279297,166.8304901123047,0.0003572894202079624,0.00034815067192539573,0.00025743941660039127,0.0003279346274212003,0.0,0.00036988023202866316,0.0003036455891560763,0.0005547436885535717,0.0003270423039793968,0.0003694247570820153,350.12188720703125,350.0901184082031,350.11480712890625,-0.0,350.1295166015625,350.1063232421875,350.19427490234375,350.114501953125,350.12933349609375,0.12189517170190811,0.09012699872255325,0.11481476575136185,-0.0,0.1295059770345688,0.1063082292675972,0.19426806271076202,0.11450225859880447,0.12934644520282745,51145.6171875,49918.04296875,50852.15234375,-0.0,51299.84375,50605.67578125,53485.07421875,50784.4609375,51500.20703125
2000-02-10 00:00:00,112000.0,350.0,350.0,350.0,-0.0,350.0,350.0,350.0,350.0,350.0,198.480712890625,165.1501007080078,170.07574462890625,163.99505615234375,302.3755187988281,164.22308349609375,167.02191162109375,146.99261474609375,164.07301330566406,162.89683532714844,0.0003504426567815244,0.0003388150653336197,0.00025649977033026516,0.0003273661423008889,0.0,0.00036113057285547256,0.000311404000967741,0.000523416034411639,0.0003242547973059118,0.00036061301943846047,350.1186218261719,350.08978271484375,350.1146240234375,-0.0,350.1264343261719,350.1090393066406,350.18328857421875,350.113525390625,350.1262512207031,0.1186254620552063,0.08979795128107071,0.11461566388607025,-0.0,0.1264413595199585,0.10902535170316696,0.18329155445098877,0.11352598667144775,0.12626008689403534,49781.546875,48826.37890625,49961.62109375,-0.0,49899.98046875,49564.1015625,51475.29296875,49631.00390625,50088.5625
2000-05-01 00:00:00,338800.0,350.0,350.0,350.0,-0.0,350.0,350.0,350.0,350.0,350.0,197.96502685546875,161.4646759033203,167.3995819091797,160.32801818847656,310.52703857421875,160.6498565673828,163.76544189453125,141.8406982421875,160.61688232421875,158.92056274414062,0.00032607081811875105,0.0003137883613817394,0.0002510077611077577,0.00031461508478969336,0.0,0.00032711855601519346,0.0003093763953074813,0.0004489737330004573,0.0003100789908785373,0.00033358612563461065,350.10986328125,350.0878601074219,350.1101379394531,-0.0,350.1145324707031,350.1083068847656,350.1572265625,350.1085510253906,350.1167907714844,0.10986040532588959,0.08787477761507034,0.11014993488788605,-0.0,0.11452896147966385,0.10831525176763535,0.15721139311790466,0.10856131464242935,0.11679410189390182,49044.13671875,48279.39453125,49890.82421875,-0.0,49085.39453125,49129.390625,50196.625,49195.61328125,49440.984375
2000-07-20 20:24:00,565180.0,350.0,350.0,350.0,-0.0,350.0,350.0,350.0,350.0,350.0,197.38003540039062,159.1845703125,165.797607421875,158.1788787841797,314.5563049316406,158.47254943847656,161.81863403320312,138.89675903320312,158.4984130859375,156.41836547851562,0.0003219297796022147,0.0003093754639849067,0.0002563328016549349,0.00031237397342920303,0.0,0.00031887335353530943,0.0003165852976962924,0.00042092864168807864,0.0003113984130322933,0.0003295556816738099,350.1083068847656,350.0897521972656,350.109375,-0.0,350.11163330078125,350.11083984375,350.14739990234375,350.1090087890625,350.1153869628906,0.10831491649150848,0.08973947912454605,0.1093650534749031,-0.0,0.11164127290248871,0.11083994060754776,0.1473870575428009,0.10902339220046997,0.11538250744342804,48918.1953125,48190.40234375,50027.125,-0.0,48905.14453125,49126.71484375,49855.4765625,49191.4921875,49369.0703125
2000-09-13 00:28:04,716854.625,350.0,350.0,350.0,-0.0,350.0,350.0,350.0,350.0,350.0,196.98338317871094,157.9443817138672,164.92620849609375,157.04856872558594,316.72015380859375,157.2864990234375,160.76979064941406,137.32008361816406,157.36270141601562,155.0496368408203,0.00032326369546353817,0.0003107156662736088,0.0002619012666400522,0.00031315593514591455,0.0,0.00031875373679213226,0.00032304812339134514,0.0004120829689782113,0.00031485126237384975,0.00033158843871206045,350.1087951660156,350.0916748046875,350.1096496582031,-0.0,350.1116027832031,350.11309814453125,350.144287109375,350.1102294921875,350.1160888671875,0.10878428816795349,0.09168945252895355,0.10963890701532364,-0.0,0.1115993782877922,0.11310338228940964,0.14428849518299103,0.1102326512336731,0.1160944476723671,48914.9375,48186.9296875,50120.7734375,-0.0,48871.32421875,49164.0,49783.93359375,49243.6640625,49392.23828125
2001-01-01 00:00:00,1024800.0,350.0,350.0,350.0,-0.0,350.0,350.0,350.0,350.0,350.0,196.15716552734375,155.98143005371094,163.4771728515625,155.17739868164062,318.60369873046875,155.39479064941406,159.02182006835938,134.77267456054688,155.46078491210938,152.86444091796875,0.0003322322154417634,0.00031905152718536556,0.00027608618256635964,0.00031971337739378214,0.0,0.0003255769843235612,0.00033917059772647917,0.00041015076567418873,0.0003266112180426717,0.00034148720442317426,350.1116943359375,350.0966491699219,350.1119384765625,-0.0,350.1139831542969,350.1187438964844,350.14361572265625,350.1143493652344,350.11956787109375,0.11170367896556854,0.09665685147047043,0.11193547397851944,-0.0,0.11398906260728836,0.11874998360872269,0.14361166954040527,0.11435127258300781,0.11956135183572769,48956.86328125,48214.83984375,50300.8046875,-0.0,48873.109375,49265.52734375,49791.45703125,49376.80859375,49493.46484375
2001-07-03 00:00:00,1537200.0,350.0,350.0,350.0,-0.0,350.0,350.0,350.0,350.0,350.0,194.8068084716797,153.32498168945312,161.37728881835938,152.48329162597656,320.22802734375,152.8465576171875,156.5374755859375,131.31858825683594,152.70120239257812,149.8709716796875,0.00035383307840675116,0.00033828741288743913,0.0003041752497665584,0.0003372164210304618,0.0,0.0003436179831624031,0.0003704443806782365,0.0004215033259242773,0.0003517929872032255,0.00036361883394420147,350.1184387207031,350.10650634765625,350.1180725097656,-0.0,350.12030029296875,350.12969970703125,350.1475830078125,350.1231689453125,350.1273193359375,0.1184406653046608,0.10649373382329941,0.11806555837392807,-0.0,0.12030763179063797,0.1297035813331604,0.14758837223052979,0.1231708750128746,0.12731288373470306,49065.04296875,48270.92578125,50670.49609375,-0.0,48924.23828125,49475.07421875,49906.96484375,49657.8203125,49705.2421875
2002-01-02 00:00:00,2049600.0,350.0,350.0,350.0,-0.0,350.0,350.0,350.0,350.0,350.0,193.45396423339844,150.98585510253906,159.41561889648438,149.95448303222656,321.2975769042969,150.5714111328125,154.2218780517578,128.2096710205078,150.10446166992188,147.18592834472656,0.00037938199238851666,0.00035981371183879673,0.00033529632491990924,0.0003595920861698687,0.0,0.0003650462022051215,0.0004054551827721298,0.0004398941237013787,0.00038094783667474985,0.00038900322397239506,350.1259765625,350.1174011230469,350.12591552734375,-0.0,350.1278076171875,350.1419677734375,350.1540222167969,350.1333923339844,350.1361999511719,0.12598012387752533,0.11739307641983032,0.12590250372886658,-0.0,0.12781281769275665,0.14196687936782837,0.1540306955575943,0.13338255882263184,0.13620410859584808,49203.32421875,48349.38671875,51113.1875,-0.0,49008.625,49720.59375,50090.32421875,50004.71875,49962.2421875
