Time,FOPT,FGPT,FWPT,FWIT,WOPR:WELL08P,WOPR:WELL09P,WOPR:WELL10P,WOPR:WELL11I,WOPR:WELL12P,WOPR:WELL14P,WOPR:WELL18P,WOPR:WELL19P,WOPR:WELL22P,FPR,WBHP:WELL08P,WBHP:WELL09P,WBHP:WELL10P,WBHP:WELL11I,WBHP:WELL12P,WBHP:WELL14P,WBHP:WELL18P,WBHP:WELL19P,WBHP:WELL22P,FWCT,WWCT:WELL08P,WWCT:WELL09P,WWCT:WELL10P,WWCT:WELL11I,WWCT:WELL12P,WWCT:WELL14P,WWCT:WELL18P,WWCT:WELL19P,WWCT:WELL22P,WLPR:WELL08P,WLPR:WELL09P,WLPR:WELL10P,WLPR:WELL11I,WLPR:WELL12P,WLPR:WELL14P,WLPR:WELL18P,WLPR:WELL19P,WLPR:WELL22P,WWPR:WELL08P,WWPR:WELL09P,WWPR:WELL10P,WWPR:WELL11I,WWPR:WELL12P,WWPR:WELL14P,WWPR:WELL18P,WWPR:WELL19P,WWPR:WELL22P,WGPR:WELL08P,WGPR:WELL09P,WGPR:WELL10P,WGPR:WELL11I,WGPR:WELL12P,WGPR:WELL14P,WGPR:WELL18P,WGPR:WELL19P,WGPR:WELL22P
2000-01-02 00:00:00,1399.983642578125,213691.171875,0.4862121641635895,0.0,349.9971008300781,349.9994201660156,349.990234375,0.0,349.9968566894531,0.0,0.0,0.0,0.0,198.5705108642578,122.58985900878906,124.01390838623047,100.52621459960938,0.0,121.92155456542969,0.0,0.0,0.0,0.0,0.00034717790549620986,0.00030581970349885523,0.0002899393148254603,0.00047866051318123937,0.0,0.0003142716595903039,0.0,0.0,0.0,0.0,350.10418701171875,350.1009216308594,350.1578369140625,0.0,350.1069030761719,0.0,0.0,0.0,0.0,0.1070687472820282,0.1015080139040947,0.16760672628879547,0.0,0.11002867668867111,0.0,0.0,0.0,0.0,52958.91796875,52412.60546875,55139.7890625,0.0,53179.85546875,0.0,0.0,0.0,0.0
2000-01-05 00:00:00,5597.17529296875,925820.75,4.6299285888671875,0.0,349.7688903808594,349.8343505859375,349.69830322265625,0.0,349.76226806640625,0.0,0.0,0.0,0.0,198.5170135498047,83.86677551269531,91.7671890258789,55.98770523071289,0.0,81.48461151123047,0.0,0.0,0.0,0.0,0.0009862855076789856,0.0009551202529110014,0.0008143019513227046,0.0011762140784412622,0.0,0.00099950993899256,0.0,0.0,0.0,0.0,350.103271484375,350.1194763183594,350.110107421875,0.0,350.1122131347656,0.0,0.0,0.0,0.0,0.3343907296657562,0.2851029634475708,0.4118044376373291,0.0,0.34994062781333923,0.0,0.0,0.0,0.0,59642.5859375,57736.4375,59851.10546875,0.0,60146.40234375,0.0,0.0,0.0,0.0
2000-01-14 00:00:00,17946.57421875,2951498.5,17.960241317749023,0.0,349.99993896484375,350.0,322.1553955078125,0.0,350.0,0.0,0.0,0.0,0.0,198.36883544921875,62.08723068237305,74.79684448242188,50.0,0.0,58.77223205566406,0.0,0.0,0.0,0.0,0.0010782661847770214,0.0011288108071312308,0.0009336642688140273,0.0010735987452790141,0.0,0.0011765866074711084,0.0,0.0,0.0,0.0,350.3954772949219,350.32708740234375,322.5016174316406,0.0,350.41229248046875,0.0,0.0,0.0,0.0,0.39553019404411316,0.3270878791809082,0.34623733162879944,0.0,0.41229042410850525,0.0,0.0,0.0,0.0,57881.14453125,56212.6796875,52666.08203125,0.0,58315.390625,0.0,0.0,0.0,0.0
2000-02-10 00:00:00,53799.03125,8789059.0,49.885250091552734,0.0,343.6885986328125,350.0,298.4715576171875,0.0,335.70867919921875,0.0,0.0,0.0,0.0,197.94522094726562,50.0,62.255367279052734,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0008896630606614053,0.0009470017976127565,0.0008108309702947736,0.0008382103405892849,0.0,0.0009588779066689312,0.0,0.0,0.0,0.0,344.0143737792969,350.28399658203125,298.7219543457031,0.0,336.0308837890625,0.0,0.0,0.0,0.0,0.32578223943710327,0.2840211093425751,0.2503918409347534,0.0,0.3222126066684723,0.0,0.0,0.0,0.0,56316.5,56237.94921875,48350.44140625,0.0,55301.0703125,0.0,0.0,0.0,0.0
2000-05-01 00:00:00,156125.203125,25582172.0,122.86652374267578,0.0,320.6685485839844,347.7856140136719,281.0233459472656,0.0,313.8085632324219,0.0,0.0,0.0,0.0,196.71670532226562,50.0,50.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0007127135759219527,0.0007295553805306554,0.000708678038790822,0.0006645288085564971,0.0,0.0007431235280819237,0.0,0.0,0.0,0.0,320.90264892578125,348.0322570800781,281.2102355957031,0.0,314.04193115234375,0.0,0.0,0.0,0.0,0.23411627113819122,0.2466428279876709,0.18687228858470917,0.0,0.23337194323539734,0.0,0.0,0.0,0.0,52605.234375,57110.83203125,45819.1953125,0.0,51787.109375,0.0,0.0,0.0,0.0
2000-06-29 00:00:00,228377.984375,37536448.0,169.85379028320312,0.0,309.8964538574219,336.1184387207031,273.5751037597656,0.0,305.0334167480469,0.0,0.0,0.0,0.0,195.8273162841797,50.0,50.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0006498951115645468,0.0006670182337984443,0.0006444291793741286,0.00060192437376827,0.0,0.000681541976518929,0.0,0.0,0.0,0.0,310.103271484375,336.3351745605469,273.7398681640625,0.0,305.241455078125,0.0,0.0,0.0,0.0,0.20684455335140228,0.21674421429634094,0.16477070748806,0.0,0.20803487300872803,0.0,0.0,0.0,0.0,51311.92578125,55822.4453125,44871.58984375,0.0,50608.9140625,0.0,0.0,0.0,0.0
2000-12-26 00:00:00,619336.875,104007384.0,438.802734375,0.0,282.87664794921875,307.2992858886719,253.7744903564453,0.0,281.3910217285156,303.62469482421875,206.97557067871094,266.64947509765625,269.4026184082031,190.76773071289062,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0006874483660794795,0.0006535581778734922,0.0006270423764362931,0.000571546028368175,0.0,0.0006713205366395414,0.000764407857786864,0.0008054638165049255,0.0006863210001029074,0.0007416344597004354,283.0616455078125,307.4920959472656,253.91961669921875,0.0,281.5800476074219,303.8569641113281,207.1424102783203,266.83258056640625,269.6025695800781,0.18499723076820374,0.1928105652332306,0.14512674510478973,0.0,0.1890304684638977,0.23227065801620483,0.16684572398662567,0.1831328123807907,0.1999465525150299,49690.66015625,54170.875,43440.69921875,0.0,49006.5703125,50947.77734375,34229.1171875,43455.484375,44341.7890625
2001-01-14 14:26:51,661276.9375,111191624.0,466.93072509765625,16661.69921875,280.13702392578125,304.44976806640625,251.71694946289062,-0.0,278.90679931640625,297.0299377441406,202.2707977294922,261.5025939941406,263.5680847167969,190.44139099121094,50.0,50.0,50.0,490.5920104980469,50.0,50.0,50.0,50.0,50.0,0.0006702213431708515,0.0006529184174723923,0.000626089982688427,0.0005689084064215422,0.0,0.0006710898014716804,0.0007328978390432894,0.0007666033925488591,0.0006519667222164571,0.0007089123246259987,280.3200378417969,304.6405029296875,251.8602294921875,-0.0,279.0940856933594,297.2477722167969,202.4259796142578,261.6731872558594,263.75506591796875,0.18302612006664276,0.19073237478733063,0.14328540861606598,-0.0,0.18729719519615173,0.21785224974155426,0.1551804393529892,0.1706022024154663,0.1869792342185974,49552.4609375,54038.640625,43305.19140625,-0.0,48863.85546875,50384.65234375,33685.7890625,42931.19921875,43743.6953125
2001-02-22 19:20:38,743369.6875,125460552.0,520.6316528320312,49985.1015625,274.7579345703125,299.5616455078125,248.42127990722656,-0.0,273.9639892578125,289.0240783691406,196.92372131347656,255.1861572265625,256.15020751953125,189.6662139892578,50.0,50.0,50.0,532.4234008789062,50.0,50.0,50.0,50.0,50.0,0.0006537222070619464,0.0006555519648827612,0.000624946434982121,0.000563833222258836,0.0,0.0006762416451238096,0.0007028641412034631,0.000726743193808943,0.0006126860971562564,0.0006777805974707007,274.93817138671875,299.7489929199219,248.56143188476562,-0.0,274.1493835449219,289.22735595703125,197.0669403076172,255.3426055908203,256.3239440917969,0.18023626506328583,0.1873270571231842,0.14014719426631927,-0.0,0.18539123237133026,0.2032875418663025,0.1432170569896698,0.15644486248493195,0.17373138666152954,49363.88671875,53827.34375,43076.1484375,-0.0,48705.5,50013.7265625,33287.39453125,42469.75,43222.296875
2001-04-03 19:12:01,825535.1875,139938224.0,573.7376098632812,83980.015625,269.4053039550781,295.2851257324219,245.68150329589844,-0.0,268.8220520019531,282.64837646484375,192.42337036132812,250.24673461914062,249.93165588378906,188.7759552001953,50.0,50.0,50.0,552.2340698242188,50.0,50.0,50.0,50.0,50.0,0.0006459116702899337,0.0006609169067814946,0.000623969710431993,0.0005586579791270196,0.0,0.0006856502732262015,0.0006865669274702668,0.0007086214609444141,0.0005862906109541655,0.0006641087238676846,269.5834655761719,295.469482421875,245.81883239746094,-0.0,269.0065002441406,282.84259033203125,192.55982971191406,250.39353942871094,250.09774780273438,0.1781722754240036,0.18436400592327118,0.13732865452766418,-0.0,0.1844443678855896,0.1941903531551361,0.13645201921463013,0.1468033790588379,0.16609209775924683,49229.78515625,53624.65234375,42856.91015625,-0.0,48615.296875,49695.6796875,32996.97265625,42105.1171875,42871.4921875
